'name';'short_name';'url_logo';'volume';'algoritm';'generation';'twitter id';'site_url';'date'
'AquariusCoin';'ARCO';'https://www.cryptocompare.com/media/352134/arco.png';42000000;'Scrypt';'PoW/PoS';'https://twitter.com/ArcCoin';'https://aquariuscoin.com/';19.02.16
'Quatloo';'QTL';'https://www.cryptocompare.com/media/19879/qtl.png';100000000;'Scrypt';'PoW';'https://twitter.com/quatloocoin';'http://quatloos.org/';27.06.14
'Coin2.1';'C2';'https://www.cryptocompare.com/media/19640/c2.png';133336249,4;'Scrypt';'PoW/PoS';'https://twitter.com/Coin2Crypto';'http://www.coin2.us/';06.05.14
'Zlancer';'ZCG';'https://files.coinmarketcap.com/static/img/coins/200x200/zcash-gold.png';2500000;'';'';'https://twitter.com/Zlancer_ZCG';'http://zlancer.net/';10.11.17
'bitBTC';'BITBTC';'https://cyber.fund/logos/bitbtc.png';47;'';'';'';'http://bit.ly/BitShares_BTC';23.09.14
'Kayicoin';'KAYI';'https://www.cryptocompare.com/media/1382863/kayi.png';1000000000;'';'';'https://twitter.com/kayicoin';'https://www.kay?.net';05.03.17
'BitCoal';'COAL';'https://www.cryptocompare.com/media/16746586/coal.png';12500000;'CryptoNight';'PoW';'';'http://getbitcoal.org/';03.10.17
'ParallelCoin';'DUO';'https://www.cryptocompare.com/media/1383196/duo.png';1000000;'Scrypt';'PoW';'https://twitter.com/parallelcoinduo';'http://parallelcoin.info/';22.06.15
'Dollarcoin';'DLC';'https://www.cryptocompare.com/media/351559/dlc.png';10638298;'SHA256';'PoW';'https://twitter.com/moneydollarcoin';;18.08.16
'Unity Ingot';'UNY';'https://files.coinmarketcap.com/static/img/coins/200x200/unity-ingot.png';10000000000;'';'';'https://twitter.com/IngotTokenFam';'https://unityingot.com/';12.05.17
'VirtualCoin';'VC';'https://pbs.twimg.com/profile_images/837208877301051392/PkW1tN5D_400x400.jpg';4000000000;'';'';'https://twitter.com/PRVirtualCoin?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fcoinmarketcap.com%2Fcurrencies%2Fvirtualcoin%2F';;09.08.14
'Hexx';'HXX';'https://pbs.twimg.com/profile_images/956592260149374976/-j5_7d2-_400x400.jpg';9999999;'Lyra2RE';'PoW';'https://twitter.com/hxxcoin';;05.09.15
'Prime-XI';'PXI';'https://www.cryptocompare.com/media/350559/pxi.png';18700849,9;'X11';'PoW';'https://twitter.com/OfficialPXI';'https://primexi.com/';20.07.14
'Marscoin';'MARS';'https://www.cryptocompare.com/media/19808/mrs.png';33000000;'X11';'PoW';'https://twitter.com/marscoinorg';'http://marscoin.org/';27.01.14
'Dalecoin';'DALC';'https://files.coinmarketcap.com/static/img/coins/200x200/dalecoin.png';1000000;'';'';'https://twitter.com/DalecoinN';'http://dalecoin.org/';24.08.17
'BumbaCoin';'BUMBA';'https://pbs.twimg.com/profile_images/647240084673064960/ID1UMLIS_400x400.png';22615096;'';'';'https://twitter.com/bumbacoin?ref_src=twsrc%5Etfw&ref_url=https%3A%2F%2Fcoinmarketcap.com%2Fcurrencies%2Fbumbacoin%2F';'http://bumbacoin.com/';08.03.16
'Philosopher Stones';'PHS';'https://www.cryptocompare.com/media/19857/phs.png';8891840;'Scrypt';'PoW';'';'http://philosopherstones.org/';28.07.13
'Bitgem';'BTG';'https://www.cryptocompare.com/media/19634/btg.png';1500000;'Scrypt';'PoW/PoS';'';'http://www.bitgem.pw/';13.05.13
'Catcoin';'CAT';'https://files.coinmarketcap.com/static/img/coins/200x200/catcoin.png';21000000;'Scrypt';'PoW';'https://twitter.com/CatcoinOfficial';'http://www.catcoins.org/';23.12.13
'Sativacoin';'STV';'https://www.cryptocompare.com/media/20444/stv.png';10000000;'X13';'PoW/PoS';'https://twitter.com/sativacoins';;21.09.14
'GlobalBoost-Y';'BSTY';'https://pbs.twimg.com/profile_images/512427591404240896/dAcupdkQ_400x400.png';13583961;'yescript';'PoW';'https://twitter.com/GlobalBoost';'http://globalboost-y.com/';08.09.14
'Darsek';'KED';'https://www.cryptocompare.com/media/1382390/ked.png';500000000;'Scrypt';'PoW/PoS';'';'http://ked.scificrypto.info/';23.08.15
'MustangCoin';'MST';'https://www.cryptocompare.com/media/351529/mst1.png';3000000;'X11';'PoW/PoS';'https://twitter.com/mustangcoin';'http://mustangcoin.xyz/';05.09.16
'VoteCoin';'VOT';'https://www.cryptocompare.com/media/16746442/vot.png';220000000;'Equihash';'PoW';'https://twitter.com/vote_coin';'https://votecoin.site/';31.08.17
'GameUnits';'UNITS';'https://files.coinmarketcap.com/static/img/coins/200x200/gameunits.png';13000000;'Scrypt';'PoW/PoS';'https://twitter.com/TeamGameunits';;27.12.16
'Eryllium';'ERY';'https://www.cryptocompare.com/media/1382403/ely2.png';100000000;'X11';'PoW/PoS';'https://twitter.com/eryllium';'https://eryllium.com/';29.12.16
'ReeCoin';'REE';'https://www.cryptocompare.com/media/351096/ree.png';350000000;'Scrypt';'PoW/PoS';'https://twitter.com/SpaceCoinLab';'http://reecoin.com/';08.05.16
'808Coin';652864;'https://www.cryptocompare.com/media/351513/808.png';10794199953,3;'SHA256';'PoW/PoS';'https://twitter.com/808BassCoin';'http://808bass.space/';30.06.16
'Independent Money System';'IMS';'https://www.cryptocompare.com/media/1383145/ims.png';21212121;'Scrypt';'PoW/PoS';'https://twitter.com/IMScrypto';'http://independentmoneysystem.com/';17.02.17
'Rubies';'RBIES';'https://www.cryptocompare.com/media/350904/rbies.png';10000000;;'PoS';'https://twitter.com/Betterbets_io';'http://rbies.org/';09.02.16
'Eurocoin';'EUC';'https://www.cryptocompare.com/media/1382471/euc.png';20000000;'SHA256';'PoW/PoS';'https://twitter.com/EuroCoinBot';'http://eurocoin-euc.com/';01.07.15
'SpaceCoin';'SPACE';'https://pbs.twimg.com/profile_images/766183507924221953/9gfuMc0r_400x400.jpg';21425472;'Scrypt';'PoW/PoS';'https://twitter.com/space_coin';'http://spacecoin.info/';31.08.15
